Day,Building,Room,Start Time,End Time
Wednesday,UA,UA3130,12:40,14:00
Monday,UA,UA2120,8:10,11:00
Wednesday,UA,UA3130,12:40,14:00
Monday,UA,UA2240,9:40,11:00
Wednesday,UA,UA2240,9:40,11:00
Wednesday,UA,UA3130,12:40,14:00
Wednesday,UA,UA3130,12:40,14:00
Wednesday,J-Building,J102,14:10,15:30
Friday,J-Building,J102,14:10,15:30
Tuesday,J-Building,J102,20:10,21:00
Tuesday,UA,UA3230,14:10,15:30
Thursday,UA,UA3230,14:10,15:30
Thursday,UB,UB2050,16:10,17:00
Monday,ERC,ERC1092,17:10,18:30
Thursday,ERC,ERC1092,17:10,18:30
Wednesday,ERC,ERC1094,8:10,10:00
Monday,UA,UA2230,12:40,14:00
Wednesday,UA,UA2230,12:40,14:00
Wednesday,ERC,ERC2056,10:10,11:00
Thursday,SIRC,2060,17:10,20:00
Monday,UB,UB2080,12:40,14:00
Thursday,UB,UB2080,12:40,14:00
Tuesday,UA,UA1350,9:40,11:00
Thursday,UA,UA1350,9:40,11:00
Tuesday,UA,UA1350,15:40,17:00
Friday,UA,UA1350,15:40,17:00
Monday,UB,UB2080,12:40,14:00
Thursday,UB,UB2080,12:40,14:00
Tuesday,UA,UA1350,9:40,11:00
Thursday,UA,UA1350,9:40,11:00
Tuesday,UA,UA1350,15:40,17:00
Friday,UA,UA1350,15:40,17:00
Friday,J-Building,J127,9:40,11:00
Monday,SIRC,2060,11:10,12:30
Wednesday,SIRC,2060,11:10,12:30
Monday,SIRC,2060,15:40,17:00
Thursday,SIRC,2060,15:40,17:00
Thursday,UA,UA1220,11:10,14:00
Monday,SIRC,1350,9:10,11:00
Monday,UL-Building,UL2,9:10,11:00
Thursday,UA,UA2240,9:10,11:00
Monday,SIRC,2020A,14:10,15:30
Thursday,SIRC,2020A,14:10,15:30
Monday,UA,UA3120,14:10,15:30
Thursday,UA,UA3120,14:10,15:30
Monday,UA,UA2220,17:10,18:30
Thursday,UA,UA2220,17:10,18:30
Tuesday,UA,UA2130,17:10,20:00
Wednesday,UL-Building,UL3,11:10,14:00
Monday,UA,UA2230,9:40,11:00
Wednesday,UA,UA2230,9:40,11:00
Friday,UA,UA2220,14:10,17:00
Monday,UB,UB4085,14:10,15:00
Thursday,UB,UB4085,10:10,11:00
Thursday,UB,UB4085,12:40,15:30
Friday,UA,UA3220,8:10,11:00
Wednesday,UA,UA2240,15:40,18:30
Monday,UA,UA2240,8:10,9:30
Wednesday,UA,UA2240,8:10,9:30
Wednesday,UL-Building,UL6,12:10,13:00
Friday,UL-Building,UL8,9:10,10:00
Friday,UL-Building,UL8,10:10,11:00
Tuesday,UB,UB2050,10:10,11:00
Wednesday,UL-Building,UL6,11:10,12:00
Monday,ERC,ERC1092,9:10,10:00
Friday,UL-Building,UL8,13:10,14:00
Friday,UL-Building,UL8,12:10,13:00
Friday,UL-Building,UL8,11:10,12:00
Monday,ERC,ERC1054,10:10,11:00
Tuesday,UB,UB2050,9:10,10:00
Monday,UB,UB2050,14:10,15:00
Monday,ERC,ERC1056,10:10,11:00
Monday,ERC,ERC1056,9:10,10:00
Monday,ERC,ERC1056,15:10,16:00
Tuesday,UA,UA3130,14:10,15:30
Thursday,UA,UA3140,14:10,15:30
Wednesday,UA,UA2140,11:10,12:30
Monday,SIRC,3110,18:40,20:00
Thursday,SIRC,3110,18:40,20:00
Monday,SIRC,3110,17:10,18:30
Thursday,SIRC,3110,17:10,18:30
Tuesday,UA,UA1220,17:10,18:30
Tuesday,UA,UA2130,15:40,17:00
Tuesday,UA,UA2140,12:40,14:00
Tuesday,UA,UA2130,11:10,12:30
Thursday,UA,UA2130,11:10,12:30
Monday,UA,UA2130,17:10,18:30
Thursday,UA,UA2130,17:10,18:30
Wednesday,UA,UA1240,14:10,15:30
Friday,UA,UA1240,14:10,15:30
Tuesday,UA,UA2120,9:40,11:00
Thursday,UA,UA2120,9:40,11:00
Friday,UA,UA1140,17:10,20:00
Tuesday,UA,UA1220,9:40,11:00
Friday,UA,UA1220,9:40,11:00
Tuesday,UA,UA2130,12:40,14:00
Thursday,UA,UA2130,12:40,14:00
Tuesday,J-Building,J127,11:10,12:30
Thursday,J-Building,J127,11:10,12:30
Tuesday,SIRC,1350,9:40,11:00
Thursday,SIRC,1350,9:40,11:00
Monday,UA,UA1240,8:10,9:30
Monday,UA,UA2140,15:40,17:00
Monday,ERC,ERC2056,15:40,17:00
Monday,UA,UA1220,8:10,9:30
Monday,SIRC,1350,14:10,15:30
Tuesday,SIRC,3110,17:10,18:30
Friday,SIRC,3110,17:10,18:30
Tuesday,UA,UA3120,14:10,15:30
Tuesday,UA,UA1220,15:40,17:00
Tuesday,SIRC,2060,17:10,20:00
Thursday,UA,UA2230,14:10,17:00
Tuesday,UA,UA1120,14:10,17:00
Monday,UA,UA3120,9:40,11:00
Wednesday,UA,UA3120,9:40,11:00
Thursday,UA,UA3130,15:40,17:00
Thursday,UB,UB2080,18:40,21:30
Thursday,J-Building,J102,11:10,14:00
Tuesday,UA,UA3130,15:40,17:00
Tuesday,UA,UA3140,12:40,14:00
Monday,SIRC,2020B,14:10,15:30
Thursday,UA,UA3130,12:40,14:00
Monday,SIRC,2020B,12:40,14:00
Thursday,UA,UA2140,11:10,14:00
Friday,UA,UA2120,14:10,17:00
Monday,UB,UB2080,17:10,18:30
Wednesday,UB,UB2080,17:10,18:30
Monday,UA,UA1140,15:40,17:00
Wednesday,UA,UA1140,15:40,17:00
Thursday,SIRC,2060,8:10,11:00
Thursday,UA,UA1120,14:10,17:00
Tuesday,UA,UA3140,14:10,15:30
Wednesday,UA,UA3140,15:40,17:00
Wednesday,UB,UB2080,11:10,12:30
Wednesday,SIRC,2020B,12:40,14:00
Monday,UA,UA2120,11:10,12:30
Wednesday,UA,UA2120,11:10,12:30
Wednesday,UA,UA2140,17:10,18:30
Wednesday,SIRC,3110,15:40,17:00
Friday,SIRC,3110,15:40,17:00
Wednesday,UA,UA1220,11:10,14:00
Monday,J-Building,J125,8:10,11:00
Wednesday,J-Building,J127,11:10,12:30
Friday,UA,UA1220,17:10,20:00
Monday,UA,UA2140,8:10,11:00
Thursday,UA,UA1220,17:10,18:30
Wednesday,UA,UA2120,15:40,17:00
Wednesday,ERC,ERC1096,8:10,11:00
Tuesday,UA,UA2240,18:40,21:30
Thursday,ERC,ERC1092,11:10,14:00
Monday,SIRC,2020A,18:40,20:00
Monday,SIRC,2020A,17:10,18:30
Monday,SIRC,2020A,20:10,21:30
Monday,UA,UA2140,14:10,15:30
Wednesday,UA,UA2140,14:10,15:30
Monday,SIRC,2020A,11:10,12:30
Wednesday,SIRC,2020A,11:10,12:30
Friday,UA,UA2130,14:10,15:30
Friday,UA,UA3140,9:40,11:00
Wednesday,SIRC,2020A,14:10,17:00
Tuesday,UA,UA2230,11:10,14:00
Wednesday,SIRC,2020A,17:10,18:30
Wednesday,SIRC,2020A,18:40,20:00
Monday,UA,UA1220,15:40,17:00
Thursday,UA,UA1220,15:40,17:00
Friday,UA,UA3130,14:10,17:00
Thursday,UA,UA3120,11:10,14:00
Friday,UA,UA2230,14:10,17:00
Thursday,UA,UA3120,17:10,20:00
Wednesday,UB,UB2050,11:10,14:00
Thursday,ERC,ERC1096,8:10,11:00
Tuesday,UA,UA2220,17:10,20:00
Wednesday,ERC,ERC1094,14:10,17:00
Tuesday,UA,UA3120,11:10,14:00
Monday,UA,UA2220,14:10,17:00
Monday,UA,UA3120,11:10,14:00
Tuesday,SIRC,2020B,9:40,11:00
Thursday,SIRC,2020B,9:40,11:00
Thursday,UA,UA2140,14:10,17:00
Wednesday,ERC,ERC1094,11:10,14:00
Tuesday,UA,UA2120,17:10,20:00
Tuesday,UA,UA3120,9:40,11:00
Thursday,UA,UA3120,9:40,11:00
Tuesday,ERC,ERC1094,8:10,9:30
Thursday,ERC,ERC1094,8:10,9:30
Wednesday,ERC,ERC2056,17:10,20:00
Wednesday,J-Building,J125,14:10,15:30
Friday,J-Building,J125,14:10,15:30
Friday,UA,UA3130,11:10,14:00
Wednesday,ERC,ERC1092,11:10,14:00
Tuesday,UA,UA3120,15:40,17:00
Thursday,UA,UA3120,15:40,17:00
Tuesday,ERC,ERC2056,17:10,18:30
Thursday,ERC,ERC2056,17:10,18:30
Monday,UA,UA3130,15:40,17:00
Monday,UA,UA3130,9:40,11:00
Wednesday,UA,UA3220,11:10,14:00
Monday,UA,UA3140,12:40,14:00
Thursday,UA,UA3140,12:40,14:00
Monday,UA,UA3120,18:40,21:30
Friday,UA,UA3140,14:10,17:00
Wednesday,UA,UA2240,11:10,14:00
Tuesday,UA,UA2230,17:10,20:00
Tuesday,UA,UA1240,17:10,20:00
Monday,UA,UA1220,11:10,14:00
Monday,UA,UA1220,17:10,20:00
Friday,UA,UA3120,11:10,14:00
Monday,UA,UA1350,9:40,11:00
Wednesday,UA,UA1350,9:40,11:00
Tuesday,UB,UB2080,11:10,12:30
Friday,UB,UB2080,11:10,12:30
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,UL-Building,UL6,15:40,17:00
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Thursday,ERC,ERC1054,14:10,15:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UA,UA3230,17:10,18:30
Monday,UL-Building,UL8,9:40,11:00
Monday,UL-Building,UL8,9:40,11:00
Monday,UL-Building,UL8,9:40,11:00
Monday,UL-Building,UL8,9:40,11:00
Monday,UL-Building,UL8,9:40,11:00
Monday,UL-Building,UL8,9:40,11:00
Friday,UA,UA3230,17:10,18:30
Friday,UA,UA3230,17:10,18:30
Friday,UA,UA3230,17:10,18:30
